ParName   Value   Gradient
F_rate[118]     0.149738 -1.00934e-006
F_rate[119]     0.181741 -1.38221e-006
F_rate[120]     0.170228 -1.50637e-009
F_rate[121]     0.120039 9.85282e-007
F_rate[122]    0.0826212 1.29247e-006
F_rate[123]     0.171911 7.06582e-007
F_rate[124]     0.154138 1.56873e-006
F_rate[125]     0.161941 -7.68283e-008
F_rate[126]     0.122699 8.83016e-007
F_rate[127]     0.107371  1.8898e-006
F_rate[128]     0.131267 2.04097e-007
F_rate[129]    0.0803608 9.53414e-007
F_rate[130]    0.0873585 1.04259e-006
F_rate[131]  0.000161642 -1.67073e-006
F_rate[132]  0.000324817 9.16054e-007
F_rate[133]  0.000492067 1.06392e-007
F_rate[134]  0.000666206 8.53564e-007
F_rate[135]  0.000846616 -2.21487e-007
F_rate[136]   0.00103292 3.70869e-007
F_rate[137]   0.00122649 -6.77538e-007
F_rate[138]   0.00142944  2.6384e-008
F_rate[139]   0.00164421 -5.62824e-007
F_rate[140]   0.00187434 4.59056e-007
F_rate[141]    0.0021194 -1.52909e-007
F_rate[142]   0.00237672 3.14714e-007
F_rate[143]      0.00263 -2.71398e-007
F_rate[144]   0.00286658 -3.29078e-007
F_rate[145]   0.00309231 2.80178e-007
F_rate[146]   0.00332757 -1.94859e-006
F_rate[147]   0.00357574 1.01298e-006
F_rate[148]   0.00383384 8.54249e-007
F_rate[149]   0.00410379 3.45764e-007
F_rate[150]   0.00438407 -5.46705e-007
F_rate[151]   0.00468164 -1.87854e-007
F_rate[152]   0.00499535 -4.48575e-007
F_rate[153]    0.0053053 -2.28991e-008
F_rate[154]   0.00559757 -9.36632e-007
F_rate[155]   0.00588466 -2.29186e-007
F_rate[156]   0.00618302 3.50946e-007
F_rate[157]   0.00648962  8.1268e-007
F_rate[158]    0.0068096  6.8491e-007
F_rate[159]   0.00715687 7.13519e-007
F_rate[160]   0.00752096  4.4328e-007
F_rate[161]   0.00790144 -2.78009e-007
F_rate[162]   0.00834983 5.21095e-007
F_rate[163]     0.026064 2.01919e-007
F_rate[164]   0.00765963 5.16834e-007
F_rate[165]    0.0110104 3.23269e-007
F_rate[166]    0.0196931 6.98026e-007
F_rate[167]    0.0498009  2.3478e-007
F_rate[168]    0.0553105 1.20011e-007
F_rate[169]    0.0785578 -5.1364e-008
F_rate[170]     0.051087 -1.38047e-009
F_rate[171]    0.0698629 -2.19144e-007
F_rate[172]    0.0734022 -2.03214e-007
F_rate[173]    0.0956928 4.58399e-008
F_rate[174]    0.0910512 4.66883e-007
F_rate[175]     0.083295 4.77148e-007
F_rate[176]     0.124019 -1.39014e-007
F_rate[177]      0.06099 6.97203e-008
F_rate[178]    0.0705294 -1.0672e-007
F_rate[179]    0.0368129 -2.49577e-007
F_rate[180]    0.0515603 -3.47826e-007
F_rate[181]    0.0409697 -4.08082e-007
F_rate[182]    0.0744665 -1.48146e-007
F_rate[183]     0.057348 -1.36181e-007
F_rate[184]    0.0610772 -2.93706e-007
F_rate[185]    0.0815075 -5.28246e-007
F_rate[186]    0.0634675 -5.25088e-007
F_rate[187]    0.0566227 -5.25172e-007
F_rate[188]    0.0527482 -3.21992e-007
F_rate[189]    0.0537154 -4.30432e-007
F_rate[190]    0.0672667 -2.59144e-007
F_rate[191]    0.0395505 -9.1389e-008
F_rate[192]     0.118775 -1.50762e-007
F_rate[193]    0.0785388 -2.49688e-008
F_rate[194]     0.131834 7.14872e-008
F_rate[195]     0.101925  1.4713e-007
F_rate[196]    0.0499689 -3.37153e-008
F_rate[197]    0.0681509 1.57062e-006
F_rate[198]    0.0805046 7.66283e-007
F_rate[199]    0.0846153 1.13855e-007
