ParName   Value   Gradient
F_rate[117]     0.129016 -1.04601e-007
F_rate[118]     0.144602 -2.69075e-007
F_rate[119]     0.175275  4.9037e-009
F_rate[120]     0.164111 3.56567e-007
F_rate[121]     0.115839 1.01898e-006
F_rate[122]    0.0798533 -1.56964e-006
F_rate[123]     0.166047 -4.04781e-008
F_rate[124]     0.149312 -1.01778e-007
F_rate[125]     0.157526 -1.94646e-008
F_rate[126]     0.120066 7.38549e-007
F_rate[127]     0.105461 5.32281e-007
F_rate[128]     0.128733 -2.94311e-007
F_rate[129]    0.0786693 -2.37274e-007
F_rate[130]    0.0856248 -1.27536e-006
F_rate[131]  0.000161775 1.13638e-005
F_rate[132]  0.000325119 9.35378e-006
F_rate[133]  0.000492662 7.62874e-006
F_rate[134]   0.00066716 4.69824e-006
F_rate[135]  0.000847929 1.87594e-006
F_rate[136]   0.00103464  6.6901e-007
F_rate[137]   0.00122872 1.51648e-006
F_rate[138]   0.00143226 3.38991e-006
F_rate[139]    0.0016478 4.07843e-006
F_rate[140]    0.0018787 2.64616e-006
F_rate[141]   0.00212447 1.66757e-006
F_rate[142]   0.00238229 1.82102e-006
F_rate[143]   0.00263538  3.1254e-006
F_rate[144]   0.00287086 1.76246e-006
F_rate[145]   0.00309561 2.00114e-006
F_rate[146]   0.00333032 1.67846e-006
F_rate[147]   0.00357774 4.18083e-007
F_rate[148]   0.00383474 1.09347e-006
F_rate[149]   0.00410308 5.88886e-007
F_rate[150]    0.0043819  7.2042e-007
F_rate[151]   0.00467869 4.80107e-007
F_rate[152]    0.0049921 6.11783e-007
F_rate[153]   0.00530069 4.01739e-007
F_rate[154]   0.00559077 3.61035e-007
F_rate[155]   0.00587555  3.3248e-007
F_rate[156]   0.00617139 6.43839e-007
F_rate[157]   0.00647507 6.69933e-007
F_rate[158]   0.00679179 3.49239e-007
F_rate[159]   0.00713557 6.93144e-007
F_rate[160]   0.00749661 2.50955e-007
F_rate[161]   0.00787433 2.08468e-006
F_rate[162]   0.00831971 7.99349e-007
F_rate[163]     0.025966   4.556e-007
F_rate[164]   0.00762458 -1.43685e-007
F_rate[165]    0.0109493 -1.65655e-006
F_rate[166]    0.0195574 3.23019e-007
F_rate[167]    0.0493858 1.04893e-006
F_rate[168]    0.0547723 1.61475e-007
F_rate[169]    0.0776773  3.1014e-007
F_rate[170]    0.0503847 7.89264e-007
F_rate[171]    0.0687967 4.12635e-007
F_rate[172]    0.0720916 1.23763e-007
F_rate[173]    0.0937278 5.56635e-008
F_rate[174]    0.0889438 1.42434e-007
F_rate[175]    0.0811145  4.5236e-007
F_rate[176]     0.120125 1.93772e-006
F_rate[177]    0.0590366 1.88282e-007
F_rate[178]    0.0683861 2.84828e-007
F_rate[179]    0.0358047  1.2958e-007
F_rate[180]    0.0502426 -1.67323e-008
F_rate[181]    0.0399622 8.47364e-007
F_rate[182]    0.0725276 3.48228e-007
F_rate[183]    0.0555939 6.96874e-008
F_rate[184]    0.0592223 -1.81127e-007
F_rate[185]    0.0789418  1.3937e-007
F_rate[186]    0.0614339 1.40625e-006
F_rate[187]    0.0549484 6.26174e-007
F_rate[188]    0.0515009 2.72612e-007
F_rate[189]    0.0526054 2.82505e-007
F_rate[190]    0.0658917 -1.90854e-007
F_rate[191]    0.0388886 1.09124e-006
F_rate[192]     0.116348 1.81473e-007
F_rate[193]    0.0769821 1.01331e-007
F_rate[194]     0.130082 -5.70905e-008
F_rate[195]     0.100587 -5.46429e-007
F_rate[196]    0.0495517 6.79868e-009
F_rate[197]    0.0675821 -1.52173e-006
F_rate[198]    0.0798329 -7.51633e-007
F_rate[199]    0.0839095 3.64549e-007
F_rate[200]     0.108797 -7.40826e-008
F_rate[201]     0.113411 1.20921e-007
F_rate[202]     0.145008 6.61367e-008
F_rate[203]     0.166014 7.09747e-008
F_rate[204]     0.203343 -4.13461e-006
F_rate[205]     0.219222 3.71958e-007
F_rate[206]     0.219201 4.27956e-007
F_rate[207]     0.166026 5.09805e-007
F_rate[208]     0.159876 -6.94195e-007
F_rate[209]     0.182305 -1.56765e-007
F_rate[210]     0.192602 1.05643e-006
F_rate[211]      0.21385 -1.50579e-006
F_rate[212]      0.21051 3.96736e-007
F_rate[213]     0.229406 9.90902e-007
F_rate[214]     0.233204 -7.72382e-007
F_rate[215]     0.265227 -3.73396e-006
F_rate[216]     0.249987 1.46539e-006
F_rate[217]     0.238567 4.93391e-007
F_rate[218]     0.235581 -6.67682e-007
F_rate[219]     0.238398 -1.31284e-006
F_rate[220]     0.237475 1.37285e-006
F_rate[221]     0.239176 1.52479e-006
F_rate[222]     0.248505 1.64779e-006
F_rate[223]     0.271604 -1.93456e-006
F_rate[224]     0.287332 4.24295e-007
F_rate[225]      0.30109 -7.06849e-007
F_rate[226]      0.30892 -7.97078e-007
F_rate[227]     0.293777 1.96301e-006
F_rate[228]      0.26885 -8.4685e-007
F_rate[229]     0.276122 2.25888e-006
F_rate[230]     0.316215 -7.4742e-007
F_rate[231]     0.302807 1.17297e-006
F_rate[232]     0.340766 9.18527e-007
F_rate[233]     0.278585 1.11163e-006
F_rate[234]     0.246104 -5.95777e-007
F_rate[235]     0.247294 8.52362e-007
F_rate[236]     0.240766 1.22491e-006
F_rate[237]     0.258319 -6.15597e-007
F_rate[238]     0.337864 1.76682e-006
F_rate[239]     0.349179 -7.91125e-007
F_rate[240]     0.425456 -1.34735e-007
F_rate[241]     0.395612 -3.45404e-007
F_rate[242]     0.405048 1.04793e-006
F_rate[243]     0.407324  4.7373e-007
F_rate[244]     0.502264 5.62785e-007
F_rate[245]     0.318641 7.11437e-008
F_rate[246]     0.232331 3.05651e-007
F_rate[247]     0.267786 1.84905e-006
F_rate[248]     0.313846 2.31082e-006
F_rate[249]     0.282539 4.04794e-007
F_rate[250]     0.297461 -2.30231e-007
F_rate[251]     0.241649 1.11488e-006
F_rate[252]      0.14022 1.45254e-007
F_rate[253]    0.0881017 4.92081e-007
F_rate[254]    0.0694442 4.39096e-007
F_rate[255]     0.118418 7.24267e-007
F_rate[256]     0.093217 -2.13263e-007
F_rate[257]    0.0963015 8.79981e-007
F_rate[258]    0.0817708 4.26495e-007
F_rate[259]    0.0879994 -4.2688e-007
F_rate[260]    0.0677998 1.12178e-006
Q_parm[4]      1.36796 -9.72863e-008
selparm[1]       20.357 -1.20685e-006
selparm[2]      1.79088 -6.21104e-008
selparm[3]       1.7369  8.1318e-007
selparm[4]      1.09635 1.53344e-006
selparm[5]     -3.42483 3.16871e-007
selparm[6]      4.85659 8.76961e-007
selparm[7]      12.5003 -2.68375e-007
selparm[8]    -0.476458 -3.18521e-007
selparm[9]     0.702153 -4.21225e-007
selparm[10]      -3.9958 -1.50739e-008
selparm[11]     0.729845 -1.71413e-008
selparm[12]     -4.83633 1.58206e-008
selparm[13]      2.41819 1.42183e-006
selparm[14]     0.882264 -2.65195e-008
selparm[15]       3.8689 3.51994e-006
selparm[16]      1.79234 -7.50727e-007
selparm[17]       4.1979 -5.35727e-006
selparm[18]     0.168799 2.35563e-006
selparm[19]     0.745567 8.72951e-006
selparm[20]     -1.97959 4.49592e-007
selparm[21]     -13.8578 -4.72318e-007
selparm[22]     0.303062 7.21444e-007
selparm[29]      2.56229 9.70209e-007
selparm[30]     0.912112 -4.6643e-007
selparm[31]      4.11496 7.75934e-007
selparm[32]      1.58733 -6.44751e-007
